filename,nrow,ncol,nnz,sparsity,degree,std_node_degree,N,cusparse,SEQREDUCE_ROWBALANCE,SR_RB_speed,PARREDUCE_ROWBALANCE,PR_RB_speed,SEQREDUCE_NNZBALANCE,SR_NB_speed,PARREDUCE_NNZBALANCE,PR_NB_speed,ROWCACHING_ROWBALANCE,RC_RB_speed,ROWCACHING_NNZBALANCE,RC_NB_speed,THE_BEST_ALG_INDEX,THE_BEST_ALG_NAME,THE_BEST_ALG_TIME,THE_BEST_ALG_SPEED
bcsstk29.mtx,13992,13992,619488,0.00316427,44.2744,15.6413,128,0.065376,0.0701152,0.932408,0.270458,0.241724,0.738682,0.0885036,0.449149,0.145555,0.0498848,1.31054,0.071088,0.919649,5,ROWCACHING_ROWBALANCE,0.0498848,1.31054
c-45.mtx,13206,13206,174452,0.00100031,13.2101,85.1086,128,0.0342848,0.124522,0.275332,0.156493,0.219082,0.573222,0.0598106,0.168205,0.203828,0.156746,0.218729,0.0298176,1.14982,6,ROWCACHING_NNZBALANCE,0.0298176,1.14982
delaunay_n14.mtx,16384,16384,98244,0.000365987,5.99634,1.34823,128,0.0267264,0.0215712,1.23899,0.166074,0.160931,0.361174,0.0739986,0.123472,0.216457,0.0323008,0.827422,0.0197024,1.3565,6,ROWCACHING_NNZBALANCE,0.0197024,1.3565
ibm_matrix_2.mtx,51448,51448,1056610,0.000399188,20.5374,28.4033,128,0.154944,0.712486,0.217469,0.913139,0.169683,2.57704,0.0601248,0.992074,0.156182,0.792506,0.195512,0.191904,0.807404,0,CuSparse,0.154944,1
saylr4.mtx,3564,3564,22316,0.00175688,6.2615,0.746159,128,0.0183104,0.0077856,2.35183,0.0395776,0.462646,0.078256,0.233981,0.0290496,0.630315,0.010304,1.77702,0.014704,1.24527,1,SEQREDUCE_ROWBALANCE,0.0077856,2.35183
vsp_bump2_e18_aa01_model1_crew1.mtx,56438,56438,601602,0.000188871,10.6595,21.4234,128,0.122797,0.184842,0.664335,0.810157,0.151572,1.82149,0.0674155,0.665344,0.184561,0.170403,0.720625,0.134182,0.915148,0,CuSparse,0.122797,1
dw1024.mtx,2048,2048,10114,0.00241137,4.93848,0.505944,128,0.0167584,0.0058048,2.88699,0.0240288,0.69743,0.0417536,0.401364,0.0173312,0.96695,0.0073376,2.28391,0.0124288,1.34835,1,SEQREDUCE_ROWBALANCE,0.0058048,2.88699
fpga_dcop_13.mtx,1220,1220,5892,0.00395861,4.82951,4.01275,128,0.0198432,0.0059872,3.31427,0.0162528,1.22091,0.025536,0.777068,0.0136128,1.45769,0.0075232,2.6376,0.0195264,1.01622,1,SEQREDUCE_ROWBALANCE,0.0059872,3.31427
plantsmargin_12NN.mtx,1600,1600,25482,0.00995391,15.9263,4.47474,128,0.0172832,0.0078144,2.21171,0.0230944,0.748372,0.0567168,0.304728,0.0259968,0.66482,0.0083264,2.07571,0.0134816,1.28198,1,SEQREDUCE_ROWBALANCE,0.0078144,2.21171
EX4.mtx,2600,2600,71760,0.0106154,27.6,1.62481,128,0.0203744,0.012624,1.61394,0.0414304,0.491774,0.135674,0.150172,0.0576928,0.353153,0.0096832,2.1041,0.0155936,1.30659,5,ROWCACHING_ROWBALANCE,0.0096832,2.1041
lpi_itest6.mtx,11,17,29,0.15508,2.63636,0.481046,128,0.0138336,0.0036128,3.82905,0.0036192,3.82228,0.0039008,3.54635,0.0045728,3.02519,0.0040768,3.39325,0.0109472,1.26367,1,SEQREDUCE_ROWBALANCE,0.0036128,3.82905
para-8.mtx,155924,155924,5416358,0.000222783,34.7372,22.2731,128,0.781123,1.25461,0.622602,3.53,0.221282,7.92269,0.0985931,4.97409,0.157038,1.37095,0.569766,1.04752,0.745688,0,CuSparse,0.781123,1
rgg_n_2_18_s0.mtx,262144,262144,3094566,4.50319e-05,11.8048,3.44842,128,0.52735,0.658352,0.801016,4.2516,0.124036,9.48465,0.0556004,3.65943,0.144107,0.522202,1.00986,0.678051,0.777744,5,ROWCACHING_ROWBALANCE,0.522202,1.00986
k3plates.mtx,11107,11107,378927,0.00307158,34.1161,5.54086,128,0.04632,0.0452544,1.02355,0.19168,0.241653,0.480867,0.096326,0.29185,0.158712,0.036944,1.25379,0.0474272,0.976655,5,ROWCACHING_ROWBALANCE,0.036944,1.25379
ecology2.mtx,999999,999999,4995991,4.996e-06,4.996,0.0630867,128,1.19536,1.75611,0.680687,15.3647,0.0777992,23.3066,0.0512886,8.27798,0.144403,1.76962,0.675491,1.47007,0.813132,0,CuSparse,1.19536,1
fpga_dcop_19.mtx,1220,1220,5892,0.00395861,4.82951,4.01275,128,0.020128,0.005968,3.37265,0.0161696,1.24481,0.0255424,0.788023,0.0135232,1.48841,0.0074912,2.68689,0.0195776,1.02811,1,SEQREDUCE_ROWBALANCE,0.005968,3.37265
IMDB.mtx,428440,896308,3782463,9.8498e-06,8.82845,15.2537,128,1.17634,1.28466,0.91568,6.46783,0.181875,13.3576,0.0880651,5.31942,0.22114,1.04234,1.12856,1.2616,0.932416,5,ROWCACHING_ROWBALANCE,1.04234,1.12856
mhd4800a.mtx,4800,4800,102252,0.00443802,21.3025,5.79952,128,0.022032,0.0164224,1.34158,0.0682336,0.322891,0.213523,0.103183,0.0852288,0.258504,0.0138048,1.59597,0.0177056,1.24435,5,ROWCACHING_ROWBALANCE,0.0138048,1.59597
GD02_b.mtx,80,80,232,0.03625,2.9,1.60935,128,0.0147232,0.0037536,3.92242,0.0041824,3.52028,0.0044576,3.30294,0.0055968,2.63065,0.0041952,3.50953,0.0104576,1.40789,1,SEQREDUCE_ROWBALANCE,0.0037536,3.92242
bcsstm11.mtx,1473,1473,1473,0.000678887,1,0,128,0.0204128,0.004032,5.0627,0.0178816,1.14155,0.0225888,0.903669,0.0126208,1.61739,0.0065696,3.10716,0.0199424,1.02359,1,SEQREDUCE_ROWBALANCE,0.004032,5.0627
adder_dcop_37.mtx,1813,1813,11246,0.00342139,6.20298,30.7771,128,0.0181888,0.069328,0.262359,0.0340608,0.53401,0.0404448,0.449719,0.0178752,1.01754,0.081744,0.222509,0.0142336,1.27788,6,ROWCACHING_NNZBALANCE,0.0142336,1.27788
